Question ID (machine readable),Response ID (machine readable),Response value,Answer requirement,Human-friendly question label
PSL_DATA_COLLECTION_COLLECTS_PERSONAL_DATA,,true,REQUIRED,Ваш додаток збирає чи передає будь-які дані користувачів обов’язкових для декларування типів?
PSL_DATA_COLLECTION_ENCRYPTED_IN_TRANSIT,,true,MAYBE_REQUIRED,"Чи всі дані користувачів, які збирає ваш додаток, шифруються під час передавання?"
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_PASSWORD,,MULTIPLE_CHOICE,"Які з наведених нижче способів створення облікових записів підтримує ваш додаток? Виберіть усе, що підходить./Ім’я користувача та пароль"
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_OTHER_AUTH,,MULTIPLE_CHOICE,"Які з наведених нижче способів створення облікових записів підтримує ваш додаток? Виберіть усе, що підходить./Ім’я користувача й інший спосіб автентифікації"
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_PASSWORD_OTHER_AUTH,,MULTIPLE_CHOICE,"Які з наведених нижче способів створення облікових записів підтримує ваш додаток? Виберіть усе, що підходить./Ім’я користувача, пароль та інший спосіб автентифікації"
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_OAUTH,,MULTIPLE_CHOICE,"Які з наведених нижче способів створення облікових записів підтримує ваш додаток? Виберіть усе, що підходить./OAuth"
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_OTHER,,MULTIPLE_CHOICE,"Які з наведених нижче способів створення облікових записів підтримує ваш додаток? Виберіть усе, що підходить./Інше"
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_NONE,true,MULTIPLE_CHOICE,"Які з наведених нижче способів створення облікових записів підтримує ваш додаток? Виберіть усе, що підходить./Користувачі не можуть створювати облікові записи в моєму додатку"
PSL_ACM_SPECIFY,,,MAYBE_REQUIRED,"Опишіть спосіб створення облікового запису, який підтримує ваш додаток"
PSL_ACCOUNT_DELETION_URL,,,MAYBE_REQUIRED,"Додайте посилання, за яким користувачі зможуть надіслати запит на видалення свого облікового запису й пов’язаних із ним даних "
PSL_SUPPORT_DATA_DELETION_BY_USER,DATA_DELETION_YES,,SINGLE_CHOICE,Чи можуть користувачі вашого додатка надіслати запит на видалення своїх даних?/Так
PSL_SUPPORT_DATA_DELETION_BY_USER,DATA_DELETION_NO,,SINGLE_CHOICE,Чи можуть користувачі вашого додатка надіслати запит на видалення своїх даних?/Ні
PSL_SUPPORT_DATA_DELETION_BY_USER,DATA_DELETION_NO_AUTO_DELETED,true,SINGLE_CHOICE,"Чи можуть користувачі вашого додатка надіслати запит на видалення своїх даних?/Ні, але дані користувачів автоматично видаляються через 90 днів"
PSL_DATA_DELETION_URL,,,MAYBE_REQUIRED,URL-адреса сторінки для видалення даних
PSL_DATA_COLLECTION_COMPLIES_FAMILY_POLICY,,,OPTIONAL,"Відповідайте на це запитання, лише якщо ви вказали, що цільова вікова група вашого додатка включає дітей, або ви берете участь у програмі ""Для всієї сім’ї"". У такому разі ви повинні дотримуватися правил Google Play щодо сімейного контенту (https://support.google.com/googleplay/android-developer/answer/9893335). Хочете опублікувати це зобов’язання в розділі ""Безпека даних"" на сторінці свого додатка?"
PSL_INDEPENDENTLY_VALIDATED,,,OPTIONAL,"Чи пройшов ваш додаток незалежну перевірку безпеки відповідно до принципів оцінювання безпеки мобільних додатків (MASA)? Відповідайте ""Так"", лише якщо результати цієї перевірки задовільні."
PSL_UPI_BADGE_OPT_IN,,,OPTIONAL,Показувати цей значок на сторінці додатка?
PSL_DATA_TYPES_PERSONAL,PSL_NAME,true,MULTIPLE_CHOICE,Особиста інформація/Назва
PSL_DATA_TYPES_PERSONAL,PSL_EMAIL,,MULTIPLE_CHOICE,Особиста інформація/Електронна адреса
PSL_DATA_TYPES_PERSONAL,PSL_USER_ACCOUNT,true,MULTIPLE_CHOICE,Особиста інформація/Ідентифікатори користувачів
PSL_DATA_TYPES_PERSONAL,PSL_ADDRESS,,MULTIPLE_CHOICE,Особиста інформація/Адреса
PSL_DATA_TYPES_PERSONAL,PSL_PHONE,,MULTIPLE_CHOICE,Особиста інформація/Номер телефону
PSL_DATA_TYPES_PERSONAL,PSL_RACE_ETHNICITY,,MULTIPLE_CHOICE,Особиста інформація/Расова й етнічна належність
PSL_DATA_TYPES_PERSONAL,PSL_POLITICAL_RELIGIOUS,,MULTIPLE_CHOICE,Особиста інформація/Політичні й релігійні переконання
PSL_DATA_TYPES_PERSONAL,PSL_SEXUAL_ORIENTATION_GENDER_IDENTITY,,MULTIPLE_CHOICE,Особиста інформація/Сексуальна орієнтація
PSL_DATA_TYPES_PERSONAL,PSL_OTHER_PERSONAL,,MULTIPLE_CHOICE,Особиста інформація/Інша інформація
PSL_DATA_TYPES_FINANCIAL,PSL_CREDIT_DEBIT_BANK_ACCOUNT_NUMBER,,MULTIPLE_CHOICE,Фінансова інформація/Платіжні дані користувача
PSL_DATA_TYPES_FINANCIAL,PSL_PURCHASE_HISTORY,,MULTIPLE_CHOICE,Фінансова інформація/Історія покупок
PSL_DATA_TYPES_FINANCIAL,PSL_CREDIT_SCORE,,MULTIPLE_CHOICE,Фінансова інформація/Кредитний рейтинг
PSL_DATA_TYPES_FINANCIAL,PSL_OTHER,,MULTIPLE_CHOICE,Фінансова інформація/Інша фінансова інформація
PSL_DATA_TYPES_LOCATION,PSL_APPROX_LOCATION,true,MULTIPLE_CHOICE,Місцезнаходження/Приблизне місцезнаходження
PSL_DATA_TYPES_LOCATION,PSL_PRECISE_LOCATION,,MULTIPLE_CHOICE,Місцезнаходження/Точне місцезнаходження
PSL_DATA_TYPES_SEARCH_AND_BROWSING,PSL_WEB_BROWSING_HISTORY,,MULTIPLE_CHOICE,Перегляд веб-сторінок/Історія веб-перегляду
PSL_DATA_TYPES_EMAIL_AND_TEXT,PSL_EMAILS,,MULTIPLE_CHOICE,Повідомлення/Електронні адреси
PSL_DATA_TYPES_EMAIL_AND_TEXT,PSL_SMS_CALL_LOG,,MULTIPLE_CHOICE,Повідомлення/SMS або MMS
PSL_DATA_TYPES_EMAIL_AND_TEXT,PSL_OTHER_MESSAGES,,MULTIPLE_CHOICE,Повідомлення/Інші повідомлення в додатку
PSL_DATA_TYPES_PHOTOS_AND_VIDEOS,PSL_PHOTOS,,MULTIPLE_CHOICE,Фото й відео/Фото
PSL_DATA_TYPES_PHOTOS_AND_VIDEOS,PSL_VIDEOS,,MULTIPLE_CHOICE,Фото й відео/Відео
PSL_DATA_TYPES_AUDIO,PSL_AUDIO,,MULTIPLE_CHOICE,Аудіофайли/Голосові й аудіозаписи
PSL_DATA_TYPES_AUDIO,PSL_MUSIC,,MULTIPLE_CHOICE,Аудіофайли/Музичні файли
PSL_DATA_TYPES_AUDIO,PSL_OTHER_AUDIO,,MULTIPLE_CHOICE,Аудіофайли/Інші аудіофайли
PSL_DATA_TYPES_HEALTH_AND_FITNESS,PSL_HEALTH,,MULTIPLE_CHOICE,Здоров’я та фітнес/Інформація про здоров’я
PSL_DATA_TYPES_HEALTH_AND_FITNESS,PSL_FITNESS,,MULTIPLE_CHOICE,Здоров’я та фітнес/Інформація про фізичну активність
PSL_DATA_TYPES_CONTACTS,PSL_CONTACTS,,MULTIPLE_CHOICE,Контакти/Контакти
PSL_DATA_TYPES_CALENDAR,PSL_CALENDAR,,MULTIPLE_CHOICE,Календар/Події календаря
PSL_DATA_TYPES_APP_PERFORMANCE,PSL_CRASH_LOGS,,MULTIPLE_CHOICE,Інформація про додаток і його роботу/Журнали помилок
PSL_DATA_TYPES_APP_PERFORMANCE,PSL_PERFORMANCE_DIAGNOSTICS,true,MULTIPLE_CHOICE,Інформація про додаток і його роботу/Діагностика
PSL_DATA_TYPES_APP_PERFORMANCE,PSL_OTHER_PERFORMANCE,,MULTIPLE_CHOICE,Інформація про додаток і його роботу/Інші дані про роботу додатка
PSL_DATA_TYPES_FILES_AND_DOCS,PSL_FILES_AND_DOCS,,MULTIPLE_CHOICE,Файли й документи/Файли й документи
PSL_DATA_TYPES_APP_ACTIVITY,PSL_USER_INTERACTION,,MULTIPLE_CHOICE,Дії в додатку/Взаємодії з додатком
PSL_DATA_TYPES_APP_ACTIVITY,PSL_IN_APP_SEARCH_HISTORY,,MULTIPLE_CHOICE,Дії в додатку/Історія пошуку в додатку
PSL_DATA_TYPES_APP_ACTIVITY,PSL_APPS_ON_DEVICE,true,MULTIPLE_CHOICE,Дії в додатку/Установлені додатки
PSL_DATA_TYPES_APP_ACTIVITY,PSL_USER_GENERATED_CONTENT,,MULTIPLE_CHOICE,"Дії в додатку/Інший контент, створений користувачем"
PSL_DATA_TYPES_APP_ACTIVITY,PSL_OTHER_APP_ACTIVITY,,MULTIPLE_CHOICE,Дії в додатку/Інші дії
PSL_DATA_TYPES_IDENTIFIERS,PSL_DEVICE_ID,true,MULTIPLE_CHOICE,Ідентифікатори пристрою або інші ідентифікатори/Ідентифікатори пристрою або інші ідентифікатори
PSL_DATA_USAGE_RESPONSES:PSL_NAME:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_COLLECTED,true,MULTIPLE_CHOICE,Використання й обробка даних (Назва)/Що ваш додаток робить із цими даними користувачів?/Збирає
PSL_DATA_USAGE_RESPONSES:PSL_NAME:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_SHARED,,MULTIPLE_CHOICE,Використання й обробка даних (Назва)/Що ваш додаток робить із цими даними користувачів?/Передає
PSL_DATA_USAGE_RESPONSES:PSL_NAME:PSL_DATA_USAGE_EPHEMERAL,,true,MAYBE_REQUIRED,Використання й обробка даних (Назва)/Ці дані обробляються тимчасово?
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_OPTIONAL,,SINGLE_CHOICE,Використання й обробка даних (Назва)/Чи можуть користувачі заборонити додатку збирати ці дані?/Користувачі можуть заборонити додатку збирати ці дані
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_REQUIRED,true,SINGLE_CHOICE,Використання й обробка даних (Назва)/Чи можуть користувачі заборонити додатку збирати ці дані?/Ці дані необхідні додатку (користувачі не можуть заборонити збирати їх)
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,"Використання й обробка даних (Назва)/Навіщо додаток збирає ці дані користувачів? Виберіть усе, що підходить./Функції додатка"
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_ANALYTICS,true,MULTIPLE_CHOICE,"Використання й обробка даних (Назва)/Навіщо додаток збирає ці дані користувачів? Виберіть усе, що підходить./Аналітика"
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,"Використання й обробка даних (Назва)/Навіщо додаток збирає ці дані користувачів? Виберіть усе, що підходить./Сповіщення від розробника"
